date,product_id,warehouse_id,quantity_sold,category,unit_price,stock_level,reorder_point,lag_7,lag_14,lag_30,rolling_mean_7,rolling_mean_30,rolling_std_7,is_weekend,month,quarter,season,festival_flag
2026-02-06 00:00:00+00:00,01b58e66-6f4a-4309-b324-fc015b96279f,070f87bb-4399-41e5-8f66-cc1ee04f73db,2,Grocery,189.76,56,15,6.0,17.0,6.0,7.142857142857143,10.133333333333333,2.794552524023089,0,2,1,winter,0
2026-02-16 00:00:00+00:00,01b58e66-6f4a-4309-b324-fc015b96279f,070f87bb-4399-41e5-8f66-cc1ee04f73db,12,Grocery,189.76,56,15,13.0,4.0,4.0,6.571428571428571,10.0,3.4086724129853883,0,2,1,winter,0
2026-02-26 00:00:00+00:00,01b58e66-6f4a-4309-b324-fc015b96279f,070f87bb-4399-41e5-8f66-cc1ee04f73db,4,Grocery,189.76,56,15,8.0,46.0,9.0,6.428571428571429,10.266666666666667,3.101458950082627,0,2,1,winter,0
2026-03-02 00:00:00+00:00,01b58e66-6f4a-4309-b324-fc015b96279f,070f87bb-4399-41e5-8f66-cc1ee04f73db,2,Grocery,189.76,56,15,5.0,2.0,7.0,5.857142857142857,10.1,3.1320159337914975,0,3,1,spring,0
2026-03-07 00:00:00+00:00,01b58e66-6f4a-4309-b324-fc015b96279f,070f87bb-4399-41e5-8f66-cc1ee04f73db,2,Grocery,189.76,56,15,5.0,9.0,4.0,5.428571428571429,9.933333333333334,3.457221565416508,1,3,1,spring,0
2026-03-08 00:00:00+00:00,01b58e66-6f4a-4309-b324-fc015b96279f,070f87bb-4399-41e5-8f66-cc1ee04f73db,23,Grocery,189.76,56,15,7.0,7.0,12.0,5.0,9.866666666666667,3.696845502136475,1,3,1,spring,0
2026-03-22 00:00:00+00:00,01b58e66-6f4a-4309-b324-fc015b96279f,070f87bb-4399-41e5-8f66-cc1ee04f73db,11,Grocery,189.76,56,15,6.0,14.0,10.0,7.285714285714286,10.233333333333333,7.8041502999853805,1,3,1,spring,0
2026-04-03 00:00:00+00:00,01b58e66-6f4a-4309-b324-fc015b96279f,070f87bb-4399-41e5-8f66-cc1ee04f73db,10,Grocery,189.76,56,15,2.0,6.0,9.0,8.0,10.266666666666667,7.895146188218008,0,4,2,summer,0
2026-04-09 00:00:00+00:00,01b58e66-6f4a-4309-b324-fc015b96279f,070f87bb-4399-41e5-8f66-cc1ee04f73db,10,Grocery,189.76,56,15,12.0,13.0,13.0,9.142857142857142,10.3,7.448234050846581,0,4,2,summer,0
2026-04-11 00:00:00+00:00,01b58e66-6f4a-4309-b324-fc015b96279f,070f87bb-4399-41e5-8f66-cc1ee04f73db,11,Grocery,189.76,56,15,4.0,8.0,14.0,8.857142857142858,10.2,7.358183005529092,1,4,2,summer,0
2026-04-16 00:00:00+00:00,01b58e66-6f4a-4309-b324-fc015b96279f,070f87bb-4399-41e5-8f66-cc1ee04f73db,3,Grocery,189.76,56,15,2.0,5.0,24.0,9.857142857142858,10.1,7.0575862594462,0,4,2,summer,0
2026-04-18 00:00:00+00:00,01b58e66-6f4a-4309-b324-fc015b96279f,070f87bb-4399-41e5-8f66-cc1ee04f73db,17,Grocery,189.76,56,15,2.0,5.0,5.0,10.0,9.4,6.879922480183431,1,4,2,summer,0
2026-04-21 00:00:00+00:00,01b58e66-6f4a-4309-b324-fc015b96279f,070f87bb-4399-41e5-8f66-cc1ee04f73db,9,Grocery,189.76,56,15,23.0,7.0,20.0,12.142857142857142,9.8,6.283008075451637,0,4,2,summer,0
2026-04-27 00:00:00+00:00,01b58e66-6f4a-4309-b324-fc015b96279f,070f87bb-4399-41e5-8f66-cc1ee04f73db,7,Grocery,189.76,56,15,11.0,6.0,14.0,10.142857142857142,9.433333333333334,4.09994192757944,0,4,2,summer,0
2026-05-06 00:00:00+00:00,01b58e66-6f4a-4309-b324-fc015b96279f,070f87bb-4399-41e5-8f66-cc1ee04f73db,11,Grocery,189.76,56,15,10.0,2.0,2.0,9.571428571428571,9.2,4.2370250120079485,0,5,2,summer,0
2025-11-30 00:00:00+00:00,01b58e66-6f4a-4309-b324-fc015b96279f,095e7c5f-623d-47b8-b14f-6b3c45c17557,22,Grocery,189.76,120,15,6.0,8.0,12.0,8.714285714285714,8.4,3.3022358947782506,1,11,4,autumn,0
2025-12-04 00:00:00+00:00,01b58e66-6f4a-4309-b324-fc015b96279f,095e7c5f-623d-47b8-b14f-6b3c45c17557,7,Grocery,189.76,120,15,13.0,3.0,7.0,11.0,8.733333333333333,5.744562646538026,0,12,4,winter,0
2025-12-06 00:00:00+00:00,01b58e66-6f4a-4309-b324-fc015b96279f,095e7c5f-623d-47b8-b14f-6b3c45c17557,9,Grocery,189.76,120,15,9.0,5.0,2.0,10.142857142857142,8.733333333333333,5.843188953205016,1,12,4,winter,0
